model,held_out_scenario,n_test,accuracy,f1_macro
xgboost,EL_20pct_m,39,1.0,1.0
xgboost,EL_20pct_tu,37,1.0,1.0
xgboost,EL_5pct_m,40,1.0,1.0
xgboost,EL_5pct_tu,42,1.0,1.0
xgboost,EL_8pct_m,44,1.0,1.0
xgboost,EL_8pct_tu,41,1.0,1.0
xgboost,EN_high,46,1.0,1.0
xgboost,EN_http,54,0.5555555555555556,0.35714285714285715
xgboost,EN_low,39,1.0,1.0
xgboost,EN_ping,39,1.0,1.0
xgboost,EN_tcp,38,1.0,1.0
xgboost,EN_udp,38,0.9736842105263158,0.49333333333333335
xgboost,_pooled,1534,0.9758800521512386,0.9554362121015832
isolation_forest,EB_1M_m,41,0.0,0.0
isolation_forest,EB_1M_tu,43,0.046511627906976744,0.044444444444444446
isolation_forest,EB_2M_m,40,0.1,0.09090909090909091
isolation_forest,EB_2M_tu,47,0.06382978723404255,0.06
isolation_forest,EB_3M_m,39,0.4358974358974359,0.30357142857142855
isolation_forest,EB_3M_tu,39,0.1794871794871795,0.15217391304347827
isolation_forest,EB_4M_m,46,0.30434782608695654,0.23333333333333334
isolation_forest,EB_4M_tu,43,0.13953488372093023,0.12244897959183673
isolation_forest,EB_5M_m,41,0.3902439024390244,0.2807017543859649
isolation_forest,EB_5M_tu,50,0.4,0.2857142857142857
isolation_forest,ED_120ms_m,42,0.4523809523809524,0.3114754098360656
isolation_forest,ED_120ms_tu,51,0.49019607843137253,0.32894736842105265
isolation_forest,ED_160ms_m,45,0.4888888888888889,0.3283582089552239
isolation_forest,ED_160ms_tu,45,0.5111111111111111,0.3382352941176471
isolation_forest,ED_200ms_m,45,0.4444444444444444,0.3076923076923077
isolation_forest,ED_200ms_tu,46,0.4782608695652174,0.3235294117647059
isolation_forest,ED_50ms_m,50,0.5,0.3333333333333333
isolation_forest,ED_50ms_tu,39,0.5384615384615384,0.35
isolation_forest,ED_80ms_m,41,0.5121951219512195,0.3387096774193548
isolation_forest,ED_80ms_tu,42,0.5,0.3333333333333333
isolation_forest,EL_12pct_m,40,0.175,0.14893617021276595
isolation_forest,EL_12pct_tu,46,0.41304347826086957,0.2923076923076923
isolation_forest,EL_16pct_m,38,0.07894736842105263,0.07317073170731707
isolation_forest,EL_16pct_tu,38,0.3684210526315789,0.2692307692307692
isolation_forest,EL_20pct_m,39,0.02564102564102564,0.025
isolation_forest,EL_20pct_tu,37,0.2702702702702703,0.2127659574468085
isolation_forest,EL_5pct_m,40,0.05,0.047619047619047616
isolation_forest,EL_5pct_tu,42,0.35714285714285715,0.2631578947368421
isolation_forest,EL_8pct_m,44,0.20454545454545456,0.16981132075471697
isolation_forest,EL_8pct_tu,41,0.43902439024390244,0.3050847457627119
isolation_forest,EN_high,46,0.06521739130434782,0.061224489795918366
isolation_forest,EN_http,54,1.0,1.0
isolation_forest,EN_low,39,1.0,1.0
isolation_forest,EN_ping,39,1.0,1.0
isolation_forest,EN_tcp,38,0.05263157894736842,0.05
isolation_forest,EN_udp,38,1.0,1.0
isolation_forest,_pooled,1534,0.378748370273794,0.3643337775758274
autoencoder,EB_1M_m,41,0.3170731707317073,0.24074074074074073
autoencoder,EB_1M_tu,43,0.23255813953488372,0.18867924528301888
autoencoder,EB_2M_m,40,0.375,0.2727272727272727
autoencoder,EB_2M_tu,47,0.10638297872340426,0.09615384615384616
autoencoder,EB_3M_m,39,0.46153846153846156,0.3157894736842105
autoencoder,EB_3M_tu,39,0.23076923076923078,0.1875
autoencoder,EB_4M_m,46,0.45652173913043476,0.31343283582089554
autoencoder,EB_4M_tu,43,0.16279069767441862,0.14
autoencoder,EB_5M_m,41,0.4878048780487805,0.32786885245901637
autoencoder,EB_5M_tu,50,0.4,0.2857142857142857
autoencoder,ED_120ms_m,42,0.5714285714285714,0.36363636363636365
autoencoder,ED_120ms_tu,51,0.9411764705882353,0.48484848484848486
autoencoder,ED_160ms_m,45,0.8888888888888888,0.47058823529411764
autoencoder,ED_160ms_tu,45,1.0,1.0
autoencoder,ED_200ms_m,45,1.0,1.0
autoencoder,ED_200ms_tu,46,1.0,1.0
autoencoder,ED_50ms_m,50,0.54,0.35064935064935066
autoencoder,ED_50ms_tu,39,0.6410256410256411,0.390625
autoencoder,ED_80ms_m,41,0.5365853658536586,0.3492063492063492
autoencoder,ED_80ms_tu,42,0.9761904761904762,0.4939759036144578
autoencoder,EL_12pct_m,40,0.45,0.3103448275862069
autoencoder,EL_12pct_tu,46,0.45652173913043476,0.31343283582089554
autoencoder,EL_16pct_m,38,0.3684210526315789,0.2692307692307692
autoencoder,EL_16pct_tu,38,0.3684210526315789,0.2692307692307692
autoencoder,EL_20pct_m,39,0.41025641025641024,0.2909090909090909
autoencoder,EL_20pct_tu,37,0.5405405405405406,0.3508771929824561
autoencoder,EL_5pct_m,40,0.5,0.3333333333333333
autoencoder,EL_5pct_tu,42,0.47619047619047616,0.3225806451612903
autoencoder,EL_8pct_m,44,0.4318181818181818,0.30158730158730157
autoencoder,EL_8pct_tu,41,0.5365853658536586,0.3492063492063492
autoencoder,EN_high,46,0.08695652173913043,0.08
autoencoder,EN_http,54,1.0,1.0
autoencoder,EN_low,39,1.0,1.0
autoencoder,EN_ping,39,0.8461538461538461,0.4583333333333333
autoencoder,EN_tcp,38,0.0,0.0
autoencoder,EN_udp,38,0.7631578947368421,0.43283582089552236
autoencoder,_pooled,1534,0.5501955671447197,0.49026236708275545
rule_based,EB_1M_m,41,0.3170731707317073,0.24074074074074073
rule_based,EB_1M_tu,43,0.13953488372093023,0.12244897959183673
rule_based,EB_2M_m,40,0.375,0.2727272727272727
rule_based,EB_2M_tu,47,0.10638297872340426,0.09615384615384616
rule_based,EB_3M_m,39,0.46153846153846156,0.3157894736842105
rule_based,EB_3M_tu,39,0.23076923076923078,0.1875
rule_based,EB_4M_m,46,0.45652173913043476,0.31343283582089554
rule_based,EB_4M_tu,43,0.16279069767441862,0.14
rule_based,EB_5M_m,41,0.4878048780487805,0.32786885245901637
rule_based,EB_5M_tu,50,0.4,0.2857142857142857
rule_based,ED_120ms_m,42,0.47619047619047616,0.3225806451612903
rule_based,ED_120ms_tu,51,0.5098039215686274,0.33766233766233766
rule_based,ED_160ms_m,45,0.4888888888888889,0.3283582089552239
rule_based,ED_160ms_tu,45,0.5111111111111111,0.3382352941176471
rule_based,ED_200ms_m,45,0.4444444444444444,0.3076923076923077
rule_based,ED_200ms_tu,46,0.4782608695652174,0.3235294117647059
rule_based,ED_50ms_m,50,0.54,0.35064935064935066
rule_based,ED_50ms_tu,39,0.5384615384615384,0.35
rule_based,ED_80ms_m,41,0.5365853658536586,0.3492063492063492
rule_based,ED_80ms_tu,42,0.5,0.3333333333333333
rule_based,EL_12pct_m,40,0.45,0.3103448275862069
rule_based,EL_12pct_tu,46,0.45652173913043476,0.31343283582089554
rule_based,EL_16pct_m,38,0.3684210526315789,0.2692307692307692
rule_based,EL_16pct_tu,38,0.3684210526315789,0.2692307692307692
rule_based,EL_20pct_m,39,0.41025641025641024,0.2909090909090909
rule_based,EL_20pct_tu,37,0.5405405405405406,0.3508771929824561
rule_based,EL_5pct_m,40,0.5,0.3333333333333333
rule_based,EL_5pct_tu,42,0.47619047619047616,0.3225806451612903
rule_based,EL_8pct_m,44,0.4318181818181818,0.30158730158730157
rule_based,EL_8pct_tu,41,0.5365853658536586,0.3492063492063492
rule_based,EN_high,46,1.0,1.0
rule_based,EN_http,54,1.0,1.0
rule_based,EN_low,39,1.0,1.0
rule_based,EN_ping,39,1.0,1.0
rule_based,EN_tcp,38,1.0,1.0
rule_based,EN_udp,38,1.0,1.0
rule_based,_pooled,1534,0.5189048239895697,0.5013276293139143
